page,variant,cohort,gender,location,location_code,uid,audio,Maincategory,Subcategory,Pagetitle,Pagenumber
196,iä,jung,W,Unterschächen,UR03,FIBD,196_Bruder_iä_jung_W_Unterschächen_UR03_FIBD.wav,Lautung,Vokale,Bruder,196
184,Naase,jung,W,Gränichen,AG05,GFPM,184_Nase_Naase_jung_W_Gränichen_AG05_GFPM.wav,Lautung,Vokale,Nase,184
38,im Muotitaal,jung,F,Muotathal,SZ03,VVAO,038_in-zu_im Muotitaal_jung_F_Muotathal_SZ03_VVAO.wav,Wortschatz,Häufige Wörter,in/zu,38
92,Brägu,alt,M,Jaun,FR04,MRDQ,092_Rösti_Brägu_alt_M_Jaun_FR04_MRDQ.wav,Wortschatz,Essen und Trinken,Rösti,92
354,'Bitt(e) schön',alt,M,Blatten,VS01,ALGD,354_Dankeserwiderung_'Bitt(e) schön'_alt_M_Blatten_VS01_ALGD.wav,Sprache im Alltag,Höflichkeit,Dankeserwiderung,354
112,Pfürzi,jung,W,Aesch,BL01,FEMF,112_Dutt_Pfürzi_jung_W_Aesch_BL01_FEMF.wav,Wortschatz,Mensch,Dutt,112
40,z,alt,W,Bosco-Gurin,TI01,GJCI,040_nach-auf_z_alt_W_Bosco-Gurin_TI01_GJCI.wav,Wortschatz,Häufige Wörter,nach/auf,40
276,Man(n)e,jung,W,Langnau,BE15,LEGF,276_Mann Plural_Man(n)e_jung_W_Langnau_BE15_LEGF.wav,Grammatik,Substantiv,Mann Plural,276
50,Ross,jung,M,Sumiswald,BE22,XYEK,050_Pferd_Ross_jung_M_Sumiswald_BE22_XYEK.wav,Wortschatz,Tier,Pferd,50
30,nünt,alt,M,Oberriet,SG07,HEHU,030_nichts_nünt_alt_M_Oberriet_SG07_HEHU.wav,Wortschatz,Häufige Wörter,nichts,30
354,'Bitte',alt,M,Zofingen,AG11,CZER,354_Dankeserwiderung_'Bitte'_alt_M_Zofingen_AG11_CZER.wav,Sprache im Alltag,Höflichkeit,Dankeserwiderung,354
226,ggs,alt,W,Schiers,GR06,XEUG,226_sechs_ggs_alt_W_Schiers_GR06_XEUG.wav,Lautung,Konsonanten,sechs,226
152,ä,jung,W,Salgesch,VS06,HFCS,152_Bett_ä_jung_W_Salgesch_VS06_HFCS.wav,Lautung,Vokale,Bett,152
270,ich uberchu,jung,W,Bosco-Gurin,TI01,MCMB,270_bekommen_ich uberchu_jung_W_Bosco-Gurin_TI01_MCMB.wav,Grammatik,Verb,bekommen,270
72,schwengge,alt,W,Thusis,GR08,IZNJ,072_schaukeln_schwengge_alt_W_Thusis_GR08_IZNJ.wav,Wortschatz,Haus und Garten,schaukeln,72
30,nüüt,jung,W,Bülach,ZH02,TPTK,030_nichts_nüüt_jung_W_Bülach_ZH02_TPTK.wav,Wortschatz,Häufige Wörter,nichts,30
82,Bitschgi,alt,M,Schmitten,GR07,WNIY,082_Apfelüberrest_Bitschgi_alt_M_Schmitten_GR07_WNIY.wav,,,,0
276,Män(n)er,alt,M,Schmitten,GR07,WNIY,276_Mann Plural_Män(n)er_alt_M_Schmitten_GR07_WNIY.wav,Grammatik,Substantiv,Mann Plural,276
104,Schoggirigel,jung,M,Hospental,UR02,BDGM,104_Schoggistängeli_Schoggirigel_jung_M_Hospental_UR02_BDGM.wav,,,,0
224,Him(m)el,jung,W,Fischingen,TG03,NMCH,224_Himmel (l-Vokalisierung)_Him(m)el_jung_W_Fischingen_TG03_NMCH.wav,Lautung,Konsonanten,Himmel (l-Vokalisierung),224
188,ou,alt,W,Huttwil,BE11,HWOL,188_Augen_ou_alt_W_Huttwil_BE11_HWOL.wav,Lautung,Vokale,Augen,188
284,Hundschi,jung,W,Brig-Glis-Gamsen-Ried-Brig,VS03,PGMA,284_Hündchen_Hundschi_jung_W_Brig-Glis-Gamsen-Ried-Brig_VS03_PGMA.wav,Grammatik,Substantiv,Hündchen,284
232,nd,alt,W,Winterthur,ZH06,UMFL,232_finden_nd_alt_W_Winterthur_ZH06_UMFL.wav,Lautung,Konsonanten,finden,232
196,üe,jung,W,Wil,SG12,JCQC,196_Bruder_üe_jung_W_Wil_SG12_JCQC.wav,Lautung,Vokale,Bruder,196
188,au,alt,M,Amriswil,TG01,NVYG,188_Augen_au_alt_M_Amriswil_TG01_NVYG.wav,Lautung,Vokale,Augen,188
116,Niif(f)a,alt,F,Ernen,VS02,FBTV,116_Schnupfen_Niif(f)a_alt_F_Ernen_VS02_FBTV.wav,Wortschatz,Mensch,Schnupfen,116
188,ou,jung,W,Huttwil,BE11,OZSY,188_Augen_ou_jung_W_Huttwil_BE11_OZSY.wav,Lautung,Vokale,Augen,188
122,Poppe,alt,M,Vals,GR09,MHUD,122_Puppe_Poppe_alt_M_Vals_GR09_MHUD.wav,Wortschatz,Gesellschaft,Puppe,122
66,Gu(u)dle,jung,M,Mels,SG06,HGYK,066_Pfütze_Gu(u)dle_jung_M_Mels_SG06_HGYK.wav,Wortschatz,Haus und Garten,Pfütze,66
246,MaschIne,alt,W,Bülach,ZH02,BNAJ,246_Maschine_MaschIne_alt_W_Bülach_ZH02_BNAJ.wav,Lautung,Prosodie,Maschine,246
98,Ooche,alt,M,Jaun,FR04,MRDQ,098_Butter_Ooche_alt_M_Jaun_FR04_MRDQ.wav,Wortschatz,Essen und Trinken,Butter,98
272,'kommst',jung,M,Ernen,VS02,SBMK,272_kommen-werden_'kommst'_jung_M_Ernen_VS02_SBMK.wav,Grammatik,Verb,kommen/werden,272
204,Schweschter,jung,M,Zweisimmen,BE25,XDYX,204_Schwester_Schweschter_jung_M_Zweisimmen_BE25_XDYX.wav,Lautung,Vokale,Schwester,204
100,Gu(u)zi,alt,W,Möhlin,AG08,JKBX,100_Bonbon_Gu(u)zi_alt_W_Möhlin_AG08_JKBX.wav,Wortschatz,Essen und Trinken,Bonbon,100
72,ritiplampe,jung,W,Thun,BE23,EVCN,072_schaukeln_ritiplampe_jung_W_Thun_BE23_EVCN.wav,Wortschatz,Haus und Garten,schaukeln,72
30,nüt,alt,M,Basel,BS01,IHIF,030_nichts_nüt_alt_M_Basel_BS01_IHIF.wav,Wortschatz,Häufige Wörter,nichts,30
30,nix,jung,M,Visp,VS10,NMZI,030_nichts_nix_jung_M_Visp_VS10_NMZI.wav,Wortschatz,Häufige Wörter,nichts,30
196,üe-palatalisiert,alt,W,Zermatt,VS11,FVIZ,196_Bruder_üe-palatalisiert_alt_W_Zermatt_VS11_FVIZ.wav,Lautung,Vokale,Bruder,196
66,Glumpe,jung,W,Sursee,LU04,ISEJ,066_Pfütze_Glumpe_jung_W_Sursee_LU04_ISEJ.wav,Wortschatz,Haus und Garten,Pfütze,66
116,Nüüscha,alt,W,Düdingen,FR01,LOHZ,116_Schnupfen_Nüüscha_alt_W_Düdingen_FR01_LOHZ.wav,Wortschatz,Mensch,Schnupfen,116
84,schwarzes Beri,alt,W,Adelboden,BE02,CBFY,084_Heidelbeere_schwarzes Beri_alt_W_Adelboden_BE02_CBFY.wav,Wortschatz,Essen und Trinken,Heidelbeere,84
84,Häselbei(er),jung,W,Appenzell,AI01,TRDS,084_Heidelbeere_Häselbei(er)_jung_W_Appenzell_AI01_TRDS.wav,Wortschatz,Essen und Trinken,Heidelbeere,84
72,rit(i)seile,alt,W,Oensingen,SO02,ABMX,072_schaukeln_rit(i)seile_alt_W_Oensingen_SO02_ABMX.wav,Wortschatz,Haus und Garten,schaukeln,72
354,'Bitte',jung,M,Büren,BE06,EJPH,354_Dankeserwiderung_'Bitte'_jung_M_Büren_BE06_EJPH.wav,Sprache im Alltag,Höflichkeit,Dankeserwiderung,354
54,Im(m)i,jung,W,Davos-Frauenkirch,GR03,OEZX,054_Biene_Im(m)i_jung_W_Davos-Frauenkirch_GR03_OEZX.wav,Wortschatz,Tier,Biene,54
226,ggsch,jung,M,Visp,VS10,NMZI,226_sechs_ggsch_jung_M_Visp_VS10_NMZI.wav,Lautung,Konsonanten,sechs,226
74,stäge,alt,W,Willisau,LU06,CWHJ,074_Treppe_stäge_alt_W_Willisau_LU06_CWHJ.wav,Wortschatz,Haus und Garten,Treppe,74
82,Grübschi,alt,M,Adelboden,BE02,BGTK,082_Apfelüberrest_Grübschi_alt_M_Adelboden_BE02_BGTK.wav,,,,0
116,Kataar,alt,F,Diepoldsau,SG01,FNGR,116_Schnupfen_Kataar_alt_F_Diepoldsau_SG01_FNGR.wav,Wortschatz,Mensch,Schnupfen,116
100,(Zucker-)Boone,jung,F,Unterschächen,UR03,GOYC,100_Bonbon_(Zucker-)Boone_jung_F_Unterschächen_UR03_GOYC.wav,Wortschatz,Essen und Trinken,Bonbon,100
28,daa,jung,W,Spreitenbach,AG09,KPHL,028_hier_daa_jung_W_Spreitenbach_AG09_KPHL.wav,Wortschatz,Häufige Wörter,hier,28
54,Imme,alt,W,Grabs,SG05,FAPZ,054_Biene_Imme_alt_W_Grabs_SG05_FAPZ.wav,Wortschatz,Tier,Biene,54
268,proocht,alt,W,Flawil,SG04,LQVZ,268_gebracht_proocht_alt_W_Flawil_SG04_LQVZ.wav,Grammatik,Verb,gebracht,268
172,oou,jung,M,Innerthal,SZ02,JGSK,172_Brot_oou_jung_M_Innerthal_SZ02_JGSK.wav,Lautung,Vokale,Brot,172
100,Gu(u)zi,jung,W,Möhlin,AG08,TVZQ,100_Bonbon_Gu(u)zi_jung_W_Möhlin_AG08_TVZQ.wav,Wortschatz,Essen und Trinken,Bonbon,100
116,Ubärgang,jung,M,Bosco-Gurin,TI01,UPAW,116_Schnupfen_Ubärgang_jung_M_Bosco-Gurin_TI01_UPAW.wav,Wortschatz,Mensch,Schnupfen,116
228,rn,jung,M,Langenthal,BE14,BNOO,228_gern_rn_jung_M_Langenthal_BE14_BNOO.wav,Lautung,Konsonanten,gern,228
82,Bätzgi,alt,M,Willisau,LU06,YXMA,082_Apfelüberrest_Bätzgi_alt_M_Willisau_LU06_YXMA.wav,,,,0
78,Sofa,jung,M,Konolfingen,BE13,CNCW,078_Sofa_Sofa_jung_M_Konolfingen_BE13_CNCW.wav,Wortschatz,Haus und Garten,Sofa,78
152,e,alt,W,Wil,SG12,YMTU,152_Bett_e_alt_W_Wil_SG12_YMTU.wav,Lautung,Vokale,Bett,152
112,Gägger,jung,M,Jaun,FR04,QOST,112_Dutt_Gägger_jung_M_Jaun_FR04_QOST.wav,Wortschatz,Mensch,Dutt,112
152,e,jung,W,Wil,SG12,JCQC,152_Bett_e_jung_W_Wil_SG12_JCQC.wav,Lautung,Vokale,Bett,152
184,Nase,alt,W,Frutigen,BE09,OUZE,184_Nase_Nase_alt_W_Frutigen_BE09_OUZE.wav,Lautung,Vokale,Nase,184
188,au,jung,M,Amriswil,TG01,EDTB,188_Augen_au_jung_M_Amriswil_TG01_EDTB.wav,Lautung,Vokale,Augen,188
70,Hag,alt,M,Altdorf,UR01,EVQN,070_Zaun_Hag_alt_M_Altdorf_UR01_EVQN.wav,Wortschatz,Haus und Garten,Zaun,70
284,Hundli,alt,M,Grindelwald,BE10,RVPF,284_Hündchen_Hundli_alt_M_Grindelwald_BE10_RVPF.wav,Grammatik,Substantiv,Hündchen,284
104,(Schoggi)stängeli,jung,M,Konolfingen,BE13,CNCW,104_Schoggistängeli_(Schoggi)stängeli_jung_M_Konolfingen_BE13_CNCW.wav,,,,0
82,Buschi,jung,M,Ernen,VS02,SBMK,082_Apfelüberrest_Buschi_jung_M_Ernen_VS02_SBMK.wav,,,,0
100,Guezli,alt,M,Marbach,LU03,ECVN,100_Bonbon_Guezli_alt_M_Marbach_LU03_ECVN.wav,Wortschatz,Essen und Trinken,Bonbon,100
32,öppis,alt,M,Huttwil,BE11,NNHI,032_etwas_öppis_alt_M_Huttwil_BE11_NNHI.wav,Wortschatz,Häufige Wörter,etwas,32
284,Hundsi,jung,M,St. Niklaus,VS08,HHHE,284_Hündchen_Hundsi_jung_M_St. Niklaus_VS08_HHHE.wav,Grammatik,Substantiv,Hündchen,284
258,scht,jung,W,Schiers,GR06,BYRX,258_du kommst_scht_jung_W_Schiers_GR06_BYRX.wav,Grammatik,Verb,du kommst,258
154,ea,alt,W,Oberriet,SG07,BTKD,154_Schlitten_ea_alt_W_Oberriet_SG07_BTKD.wav,Lautung,Vokale,Schlitten,154
128,Küssli,alt,W,Ebnat-Kappel,SG02,LTSZ,128_Kuss_Küssli_alt_W_Ebnat-Kappel_SG02_LTSZ.wav,Wortschatz,Gesellschaft,Kuss,128
66,Pfütze,jung,W,Zürich,ZH07,GDJE,066_Pfütze_Pfütze_jung_W_Zürich_ZH07_GDJE.wav,Wortschatz,Haus und Garten,Pfütze,66
100,Zältli,jung,W,Bülach,ZH02,TPTK,100_Bonbon_Zältli_jung_W_Bülach_ZH02_TPTK.wav,Wortschatz,Essen und Trinken,Bonbon,100
100,Guetsch,alt,M,Blatten,VS01,ALGD,100_Bonbon_Guetsch_alt_M_Blatten_VS01_ALGD.wav,Wortschatz,Essen und Trinken,Bonbon,100
76,Zü(ü)che,jung,W,Schiers,GR06,BYRX,076_Schublade_Zü(ü)che_jung_W_Schiers_GR06_BYRX.wav,Wortschatz,Haus und Garten,Schublade,76
120,Chind(li),jung,M,Appenzell,AI01,VRST,120_Baby_Chind(li)_jung_M_Appenzell_AI01_VRST.wav,Wortschatz,Mensch,Baby,120
284,Hundeli,jung,W,Jaun,FR04,WIAS,284_Hündchen_Hundeli_jung_W_Jaun_FR04_WIAS.wav,Grammatik,Substantiv,Hündchen,284
188,äu,jung,W,Spreitenbach,AG09,KPHL,188_Augen_äu_jung_W_Spreitenbach_AG09_KPHL.wav,Lautung,Vokale,Augen,188
72,rit(i)seile,jung,M,Olten,SO03,BSRI,072_schaukeln_rit(i)seile_jung_M_Olten_SO03_BSRI.wav,Wortschatz,Haus und Garten,schaukeln,72
338,Morge,alt,M,Oberriet,SG07,HEHU,338_Grussformeln (morgens)_Morge_alt_M_Oberriet_SG07_HEHU.wav,Sprache im Alltag,Grussformeln,Grussformeln (morgens),338
278,Bett,jung,W,Sumiswald,BE22,BLZL,278_Bett Plural_Bett_jung_W_Sumiswald_BE22_BLZL.wav,Grammatik,Substantiv,Bett Plural,278
38,im Innertaal,alt,F,Innerthal,SZ02,GFKH,038_in-zu_im Innertaal_alt_F_Innerthal_SZ02_GFKH.wav,Wortschatz,Häufige Wörter,in/zu,38
