ID,category,page,word,variant,cohort,gender,location,location_code,uid,audio
51,16,298,ich,iich bi(n) iich pi(n),alt,M,Würenlingen AG,AG10,OGQG,298_ich_iich bi(n) iich pi(n)_alt_M_Würenlingen_AG10_OGQG.wav
52,3,52,Eidechse,Lüüscheetru,jung,W,Salgesch VS,VS06,HFCS,052_Eidechse_Lüüscheetru_jung_W_Salgesch_VS06_HFCS.wav
53,13,256,ich komme,chumu,jung,M,Saas-Grund VS,VS05,GXEB,256_ich komme_chumu_jung_M_Saas-Grund_VS05_GXEB.wav
54,10,226,sechs,ggs,jung,W,Schiers GR,GR06,BYRX,226_sechs_ggs_jung_W_Schiers_GR06_BYRX.wav
55,0,362,Vergleichstext,Lesesprache,jung,M,Bern BE,BE03,HFSV,362_Vergleichstext_Lesesprache_jung_M_Bern_BE03_HFSV.wav
56,9,166,Käse,ee,jung,W,Zermatt VS,VS11,EBCW,166_Käse_ee_jung_W_Zermatt_VS11_EBCW.wav
57,10,228,gern,ren,alt,M,Grindelwald BE,BE10,RVPF,228_gern_ren_alt_M_Grindelwald_BE10_RVPF.wav
58,5,104,Schoggistängeli,Schoggirigel±,jung,M,Hospental UR,UR02,BDGM,104_Schoggistängeli_Schoggirigel±_jung_M_Hospental_UR02_BDGM.wav
59,3,48,Kater,Moudi,alt,W,Blumenstein BE,BE05,HUYI,048_Kater_Moudi_alt_W_Blumenstein_BE05_HUYI.wav
60,2,30,nichts,nüt nüd,jung,M,Basel BS,BS01,KEZZ,030_nichts_nüt nüd_jung_M_Basel_BS01_KEZZ.wav
61,7,138,Taschentuch,Schnu(u)derhudel,alt,M,Adelboden BE,BE02,BGTK,138_Taschentuch_Schnu(u)derhudel_alt_M_Adelboden_BE02_BGTK.wav
62,7,130,Ohrfeige,Watsch(e)±,jung,W,Zofingen AG,AG11,XUAK,130_Ohrfeige_Watsch(e)±_jung_W_Zofingen_AG11_XUAK.wav
63,20,346,Grussformeln beim Wandern,Grüezi,alt,M,Bülach ZH,ZH02,AWQT,346_Grussformeln beim Wandern_Grüezi_alt_M_Bülach_ZH02_AWQT.wav
64,10,228,gern,r,alt,W,Düdingen FR,FR01,LOHZ,228_gern_r_alt_W_Düdingen_FR01_LOHZ.wav
65,6,112,Dutt,Rugel(i),alt,M,Lungern OW,OW02,BDJF,112_Dutt_Rugel(i)_alt_M_Lungern_OW02_BDJF.wav
66,5,82,Überrest eines Apfels,Gröibschi,alt,W,Münchenbuchsee BE,BE18,FAHE,082_Überrest eines Apfels_Gröibschi_alt_W_Münchenbuchsee_BE18_FAHE.wav
67,4,60,Löwenzahn,Schwiimeie±,alt,M,Zermatt VS,VS11,KOOG,060_Löwenzahn_Schwiimeie±_alt_M_Zermatt_VS11_KOOG.wav
68,4,70,Zaun,Gländer,jung,M,Büren BE,BE06,EJPH,070_Zaun_Gländer_jung_M_Büren_BE06_EJPH.wav
69,0,362,Vergleichstext,Lesesprache,alt,M,Einsiedeln SZ,SZ01,GAUD,362_Vergleichstext_Lesesprache_alt_M_Einsiedeln_SZ01_GAUD.wav
70,13,256,ich komme,chu,alt,W,Bosco Gurin TI,TI01,GJCI,256_ich komme_chu_alt_W_Bosco Gurin_TI01_GJCI.wav
71,0,252,Sprechgeschwindigkeit,langsam,alt,W,Escholzmatt LU,LU01,LQUM,252_Sprechgeschwindigkeit_langsam_alt_W_Escholzmatt_LU01_LQUM.wav
72,18,334,Es kommt regnen,es chunt go rägne,alt,M,Igis GR,GR04,FSUY,334_Es kommt regnen_es chunt go rägne_alt_M_Igis_GR04_FSUY.wav
73,0,362,Vergleichstext,Lesesprache,jung,W,Diepoldsau SG,SG01,SRJK,362_Vergleichstext_Lesesprache_jung_W_Diepoldsau_SG01_SRJK.wav
74,9,172,Brot,oe,jung,W,Oberriet SG,SG07,EXRW,172_Brot_oe_jung_W_Oberriet_SG07_EXRW.wav
75,0,362,Vergleichstext,Lesesprache,alt,M,Rheinwald Hinterrhein GR,GR10,GYLR,362_Vergleichstext_Lesesprache_alt_M_Rheinwald Hinterrhein_GR10_GYLR.wav
76,3,48,Kater,Rol(l)i,jung,W,Schiers GR,GR06,KNPB,048_Kater_Rol(l)i_jung_W_Schiers_GR06_KNPB.wav
77,17,314,Teller,das,alt,W,Blumenstein BE,BE05,TFBR,314_Teller_das_alt_W_Blumenstein_BE05_TFBR.wav
78,3,54,Biene,Biene,jung,W,Wilchingen SH,SH02,TIKO,054_Biene_Biene_jung_W_Wilchingen_SH02_TIKO.wav
79,0,362,Vergleichstext,Lesesprache,alt,M,Altdorf UR,UR01,EVQN,362_Vergleichstext_Lesesprache_alt_M_Altdorf_UR01_EVQN.wav
80,7,132,kneifen,chlemme,jung,W,Blumenstein BE,BE05,FPKO,132_kneifen_chlemme_jung_W_Blumenstein_BE05_FPKO.wav
81,5,86,Rande,Randig,jung,M,Diepoldsau SG,SG01,VQED,086_Rande_Randig_jung_M_Diepoldsau_SG01_VQED.wav
82,14,274,Tanne Plural,Tanna Tannene,alt,W,Thusis GR,GR08,IZNJ,274_Tanne Plural_Tanna Tannene_alt_W_Thusis_GR08_IZNJ.wav
83,2,34,jemand,öpper(t),alt,W,Würenlingen AG,AG10,RXSC,034_jemand_öpper(t)_alt_W_Würenlingen_AG10_RXSC.wav
84,15,296,Die Geissbock ist wild,wildi,jung,W,Bosco Gurin TI,TI01,MCMB,296_Die Geissbock ist wild_wildi_jung_W_Bosco Gurin_TI01_MCMB.wav
85,9,186,Geiss,äi,jung,W,Churwalden GR,GR02,LAKO,186_Geiss_äi_jung_W_Churwalden_GR02_LAKO.wav
86,2,34,jemand,epper(t),jung,W,Meiringen BE,BE17,SNDV,034_jemand_epper(t)_jung_W_Meiringen_BE17_SNDV.wav
87,3,54,Biene,Bii(j)i,jung,W,Turtmann VS,VS09,BFKG,054_Biene_Bii(j)i_jung_W_Turtmann_VS09_BFKG.wav
88,10,232,finden,nd,jung,W,Winterthur ZH,ZH06,UFAM,232_finden_nd_jung_W_Winterthur_ZH06_UFAM.wav
89,4,60,Löwenzahn,Söiblueme±,alt,M,Konolfingen BE,BE13,XNEG,060_Löwenzahn_Söiblueme±_alt_M_Konolfingen_BE13_XNEG.wav
90,9,172,Brot,oou,alt,W,Innerthal SZ,SZ02,STIG,172_Brot_oou_alt_W_Innerthal_SZ02_STIG.wav
91,9,164,Abend (Endung),-bet,jung,W,Grabs SG,SG05,BUHM,164_Abend (Endung)_-bet_jung_W_Grabs_SG05_BUHM.wav
92,2,40,nach-auf,ga,jung,W,Schiers GR,GR06,BYRX,040_nach-auf_ga_jung_W_Schiers_GR06_BYRX.wav
93,6,112,Dutt,Chnöiel±,alt,M,Wollerau + Freienbach SZ,SZ05,YDIO,112_Dutt_Chnöiel±_alt_M_Wollerau + Freienbach_SZ05_YDIO.wav
94,13,268,gebracht,gibrungu,alt,W,Turtmann VS,VS09,LSIS,268_gebracht_gibrungu_alt_W_Turtmann_VS09_LSIS.wav
95,6,116,Schnupfen,Schnu(u)ppe(r),jung,M,Zofingen AG,AG11,VITE,116_Schnupfen_Schnu(u)ppe(r)_jung_M_Zofingen_AG11_VITE.wav
96,9,200,tief,ǜǜ,jung,M,Zweisimmen BE,BE25,XDYX,200_tief_ǜǜ_jung_M_Zweisimmen_BE25_XDYX.wav
97,0,362,Vergleichstext,Lesesprache,jung,W,Wilchingen SH,SH02,HGBP,362_Vergleichstext_Lesesprache_jung_W_Wilchingen_SH02_HGBP.wav
98,6,114,Schluckauf,Gluxi Gluxer±,alt,W,Münchenbuchsee BE,BE18,CYKL,114_Schluckauf_Gluxi Gluxer±_alt_W_Münchenbuchsee_BE18_CYKL.wav
99,9,200,tief,ǜǜ,alt,M,Zweisimmen BE,BE25,TUSD,200_tief_ǜǜ_alt_M_Zweisimmen_BE25_TUSD.wav
100,18,322,Mirjams Hut,der Huet vor vo der Mirjam,alt,M,Igis GR,GR04,FSUY,322_Mirjams Hut_der Huet vor vo der Mirjam_alt_M_Igis_GR04_FSUY.wav
101,7,124,Glasmurmeln,Chlu(u)ri,alt,W,Schaffhausen SH,SH01,VETL,124_Glasmurmeln_Chlu(u)ri_alt_W_Schaffhausen_SH01_VETL.wav
102,3,56,Heuschrecke,Straffel,jung,M,St. Niklaus VS,VS08,HHHE,056_Heuschrecke_Straffel_jung_M_St. Niklaus_VS08_HHHE.wav
103,5,84,Heidelbeere,Heidelbe(e)r(i),alt,M,Weinfelden TG,TG06,WNMA,084_Heidelbeere_Heidelbe(e)r(i)_alt_M_Weinfelden_TG06_WNMA.wav
104,9,166,Käse,ie,jung,M,Jaun FR,FR04,DGSC,166_Käse_ie_jung_M_Jaun_FR04_DGSC.wav
105,9,206,Brille,Brülle l-vokalisiert,alt,M,Konolfingen BE,BE13,XNEG,206_Brille_Brülle l-vokalisiert_alt_M_Konolfingen_BE13_XNEG.wav
106,5,86,Rande,roo(t)i Rüebe,alt,W,Turtmann VS,VS09,SION,086_Rande_roo(t)i Rüebe_alt_W_Turtmann_VS09_SION.wav
107,2,40,nach-auf,z,jung,W,Bosco Gurin TI,TI01,FVIK,040_nach-auf_z_jung_W_Bosco Gurin_TI01_FVIK.wav
108,6,112,Dutt,Bürzi,alt,W,Bern BE,BE03,SFID,112_Dutt_Bürzi_alt_W_Bern_BE03_SFID.wav
109,14,278,Bett Plural,Betti,alt,W,Saas-Grund VS,VS05,QDBA,278_Bett Plural_Betti_alt_W_Saas-Grund_VS05_QDBA.wav
110,4,70,Zaun,Zuu,alt,W,Vättis SG,SG11,CBHV,070_Zaun_Zuu_alt_W_Vättis_SG11_CBHV.wav
111,4,78,Sofa,Ggu(u)tschi,alt,W,Churwalden GR,GR02,IKIA,078_Sofa_Ggu(u)tschi_alt_W_Churwalden_GR02_IKIA.wav
112,20,342,Grussformeln (nachmittags),Grüessech,jung,M,Spiez Faulensee BE,BE08,ZJOB,342_Grussformeln (nachmittags)_Grüessech_jung_M_Spiez Faulensee_BE08_ZJOB.wav
113,5,86,Rande,Räätech,jung,W,Meiringen BE,BE17,SNDV,086_Rande_Räätech_jung_W_Meiringen_BE17_SNDV.wav
114,13,268,gebracht,gibrungu,jung,W,Turtmann VS,VS09,IGVA,268_gebracht_gibrungu_jung_W_Turtmann_VS09_IGVA.wav
115,7,132,kneifen,pitzge,alt,M,Schmitten GR,GR07,WNIY,132_kneifen_pitzge_alt_M_Schmitten_GR07_WNIY.wav
116,5,100,Bonbon,Zuckerli,jung,M,St. Niklaus VS,VS08,IMMC,100_Bonbon_Zuckerli_jung_M_St. Niklaus_VS08_IMMC.wav
117,0,362,Vergleichstext,Lesesprache,jung,W,Blumenstein BE,BE05,FPKO,362_Vergleichstext_Lesesprache_jung_W_Blumenstein_BE05_FPKO.wav
118,18,322,Mirjams Hut,ar a der Mirjams Huet,jung,M,Plaffeien FR,FR06,GNMQ,322_Mirjams Hut_ar a der Mirjams Huet_jung_M_Plaffeien_FR06_GNMQ.wav
119,13,266,"tragen, getragen","trääge, traat",alt,M,Wilchingen SH,SH02,TMQT,"266_tragen, getragen_trääge, traat_alt_M_Wilchingen_SH02_TMQT.wav"
120,20,340,Grussformeln (mittags),Grüessech,alt,W,Bern BE,BE03,GOAU,340_Grussformeln (mittags)_Grüessech_alt_W_Bern_BE03_GOAU.wav
121,2,42,hinauf,emüüf±,jung,M,Turtmann VS,VS09,DMSW,042_hinauf_emüüf±_jung_M_Turtmann_VS09_DMSW.wav
122,0,252,Sprechgeschwindigkeit,langsam,jung,W,Adelboden BE,BE02,YCXF,252_Sprechgeschwindigkeit_langsam_jung_W_Adelboden_BE02_YCXF.wav
123,18,330,gewesen bin,(won i es Chind) bi(n) gsii,jung,M,Lauterbrunnen BE,BE16,XQYH,330_gewesen bin_(won i es Chind) bi(n) gsii_jung_M_Lauterbrunnen_BE16_XQYH.wav
124,7,122,Puppe,Puppe±,jung,W,Igis GR,GR04,XAEL,122_Puppe_Puppe±_jung_W_Igis_GR04_XAEL.wav
125,17,316,Hochzeit,die,alt,W,Zermatt VS,VS11,FVIZ,316_Hochzeit_die_alt_W_Zermatt_VS11_FVIZ.wav
126,6,108,Sommersprossen,Merzespriggel±,jung,W,Amriswil TG,TG01,CBVP,108_Sommersprossen_Merzespriggel±_jung_W_Amriswil_TG01_CBVP.wav
127,5,100,Bonbon,Trops(li) Tröpsli±,jung,W,Weggis LU,LU05,EPQP,100_Bonbon_Trops(li) Tröpsli±_jung_W_Weggis_LU05_EPQP.wav
128,3,54,Biene,Biili,alt,M,Muotathal SZ,SZ03,AOLG,054_Biene_Biili_alt_M_Muotathal_SZ03_AOLG.wav
129,6,114,Schluckauf,Tschuggi,alt,W,Bosco Gurin TI,TI01,GJCI,114_Schluckauf_Tschuggi_alt_W_Bosco Gurin_TI01_GJCI.wav
130,7,124,Glasmurmeln,Marmle,alt,M,Zweisimmen BE,BE25,TUSD,124_Glasmurmeln_Marmle_alt_M_Zweisimmen_BE25_TUSD.wav
131,16,300,dich-dir,dich,alt,W,Fischingen TG,TG03,FPFX,300_dich-dir_dich_alt_W_Fischingen_TG03_FPFX.wav
132,7,124,Glasmurmeln,Märbeli,alt,M,Gränichen AG,AG05,PWBS,124_Glasmurmeln_Märbeli_alt_M_Gränichen_AG05_PWBS.wav
133,9,148,Wespe,è,alt,M,Weinfelden TG,TG06,WNMA,148_Wespe_è_alt_M_Weinfelden_TG06_WNMA.wav
134,7,124,Glasmurmeln,Murmle,alt,W,Sarnen + Kägiswil OW,OW03,ANTS,124_Glasmurmeln_Murmle_alt_W_Sarnen + Kägiswil_OW03_ANTS.wav
135,2,34,jemand,öpper(t),jung,W,Würenlingen AG,AG10,CRWO,034_jemand_öpper(t)_jung_W_Würenlingen_AG10_CRWO.wav
136,2,42,hinauf,u(u)f,alt,W,Schiers GR,GR06,XEUG,042_hinauf_u(u)f_alt_W_Schiers_GR06_XEUG.wav
137,4,72,schaukeln,geiggu,jung,W,Blatten VS,VS01,GOLW,072_schaukeln_geiggu_jung_W_Blatten_VS01_GOLW.wav
138,5,96,Brotanschnitt,Chröpfli Chropf,alt,W,Basel BS,BS01,EJSR,096_Brotanschnitt_Chröpfli Chropf_alt_W_Basel_BS01_EJSR.wav
139,0,362,Vergleichstext,Lesesprache,alt,W,Churwalden GR,GR02,IKIA,362_Vergleichstext_Lesesprache_alt_W_Churwalden_GR02_IKIA.wav
140,4,72,schaukeln,ggeit(j)u,jung,W,Turtmann VS,VS09,DNOS,072_schaukeln_ggeit(j)u_jung_W_Turtmann_VS09_DNOS.wav
141,2,42,hinauf,ue,alt,W,Herisau AR,AR01,BCMG,042_hinauf_ue_alt_W_Herisau_AR01_BCMG.wav
142,10,234,Hund,nd,jung,W,Bremgarten + Widen + Zufikon AG,AG02,NGPR,234_Hund_nd_jung_W_Bremgarten + Widen + Zufikon_AG02_NGPR.wav
143,10,232,finden,ng,alt,W,Burgdorf BE,BE07,FTDY,232_finden_ng_alt_W_Burgdorf_BE07_FTDY.wav
144,9,196,Bruder,Brüetsch,alt,W,Konolfingen BE,BE13,SPYB,196_Bruder_Brüetsch_alt_W_Konolfingen_BE13_SPYB.wav
145,11,246,Maschine,MaschIne,jung,M,Bülach ZH,ZH02,BLTF,246_Maschine_MaschIne_jung_M_Bülach_ZH02_BLTF.wav
146,0,362,Vergleichstext,Lesesprache,jung,W,Einsiedeln SZ,SZ01,AJFE,362_Vergleichstext_Lesesprache_jung_W_Einsiedeln_SZ01_AJFE.wav
147,3,50,Pferd,Reschi,alt,W,Zermatt VS,VS11,IJMG,050_Pferd_Reschi_alt_W_Zermatt_VS11_IJMG.wav
148,9,166,Käse,èè,alt,W,Bülach ZH,ZH02,BNAJ,166_Käse_èè_alt_W_Bülach_ZH02_BNAJ.wav
149,3,52,Eidechse,Heidochs,alt,W,Saanen-Gstaad BE,BE20,OIDW,052_Eidechse_Heidochs_alt_W_Saanen-Gstaad_BE20_OIDW.wav
150,3,44,Hahn,Güggu,alt,W,Burgdorf BE,BE07,FTDY,044_Hahn_Güggu_alt_W_Burgdorf_BE07_FTDY.wav
151,7,122,Puppe,Nuschi,alt,W,Visp VS,VS10,QYGT,122_Puppe_Nuschi_alt_W_Visp_VS10_QYGT.wav
152,13,260,kommen (Plural),-ed -ed -ed,jung,W,Eschenbach SG,SG03,DYAK,260_kommen (Plural)_-ed -ed -ed_jung_W_Eschenbach_SG03_DYAK.wav
153,3,54,Biene,Bien(d)li,jung,W,Winterthur ZH,ZH06,UFAM,054_Biene_Bien(d)li_jung_W_Winterthur_ZH06_UFAM.wav
154,3,58,Schmetterling,Pipolder,alt,M,Mels SG,SG06,EJOM,058_Schmetterling_Pipolder_alt_M_Mels_SG06_EJOM.wav
155,6,116,Schnupfen,Ggoggalüüsch,alt,M,Turtmann VS,VS09,TKJD,116_Schnupfen_Ggoggalüüsch_alt_M_Turtmann_VS09_TKJD.wav
156,5,82,Überrest eines Apfels,Bätzgi±,jung,M,Willisau LU,LU06,TIXC,082_Überrest eines Apfels_Bätzgi±_jung_M_Willisau_LU06_TIXC.wav
157,4,60,Löwenzahn,Ankeblueme,jung,W,Innerthal SZ,SZ02,WBHX,060_Löwenzahn_Ankeblueme_jung_W_Innerthal_SZ02_WBHX.wav
158,6,112,Dutt,Gägger±,alt,M,Jaun FR,FR04,MRDQ,112_Dutt_Gägger±_alt_M_Jaun_FR04_MRDQ.wav
159,14,278,Bett Plural,Better,alt,W,Ebnat-Kappel SG,SG02,LTSZ,278_Bett Plural_Better_alt_W_Ebnat-Kappel_SG02_LTSZ.wav
160,9,188,Augen,oi,alt,W,Blatten VS,VS01,IDFP,188_Augen_oi_alt_W_Blatten_VS01_IDFP.wav
161,5,82,Überrest eines Apfels,Giegi,jung,W,Laufen BL,BL03,EUEH,082_Überrest eines Apfels_Giegi_jung_W_Laufen_BL03_EUEH.wav
162,13,262,haben (Plural),hei(n) heit hei(n),alt,M,Niederbipp BE,BE19,DGMU,262_haben (Plural)_hei(n) heit hei(n)_alt_M_Niederbipp_BE19_DGMU.wav
163,6,116,Schnupfen,Niif(f)a±,alt,W,Ernen VS,VS02,FBTV,116_Schnupfen_Niif(f)a±_alt_W_Ernen_VS02_FBTV.wav
164,0,362,Vergleichstext,Lesesprache,jung,W,Würenlingen AG,AG10,AHQN,362_Vergleichstext_Lesesprache_jung_W_Würenlingen_AG10_AHQN.wav
165,7,132,kneifen,chlimse,jung,M,Altdorf UR,UR01,AIKP,132_kneifen_chlimse_jung_M_Altdorf_UR01_AIKP.wav
166,13,260,kommen (Plural),-i -id -id,alt,W,Lungern OW,OW02,BCUE,260_kommen (Plural)_-i -id -id_alt_W_Lungern_OW02_BCUE.wav
167,3,46,Küken,Bippeli,jung,W,Gelterkinden BL,BL02,JVJL,046_Küken_Bippeli_jung_W_Gelterkinden_BL02_JVJL.wav
168,10,236,Fenster,äi,jung,W,Bülach ZH,ZH02,HPNB,236_Fenster_äi_jung_W_Bülach_ZH02_HPNB.wav
169,13,266,"tragen, getragen","trääge, treet",alt,M,Oberriet SG,SG07,HEHU,"266_tragen, getragen_trääge, treet_alt_M_Oberriet_SG07_HEHU.wav"
170,5,100,Bonbon,Trops(li) Tröpsli±,alt,M,Luzern LU,LU02,EFKS,100_Bonbon_Trops(li) Tröpsli±_alt_M_Luzern_LU02_EFKS.wav
171,9,156,Gotte,o,jung,M,Zürich ZH,ZH07,FNVT,156_Gotte_o_jung_M_Zürich_ZH07_FNVT.wav
172,5,88,Zwiebel,Züübele,alt,M,Freiburg FR,FR02,BYPQ,088_Zwiebel_Züübele_alt_M_Freiburg_FR02_BYPQ.wav
173,3,58,Schmetterling,Zwifalter(e),alt,W,Schwyz SZ,SZ04,UZPN,058_Schmetterling_Zwifalter(e)_alt_W_Schwyz_SZ04_UZPN.wav
